# Lattice constant (Angstroms), Volume (Angstrom), Total energy (eV), Cohesive energy (eV/atom)
2.67985606118219, 19.2457306880777, -6.44104159918419, -3.22052079959209
2.68655570133514, 19.3904348264032, -6.45691469602354, -3.22845734801177
2.69327209058848, 19.5362269612298, -6.47194753189138, -3.23597376594569
2.70000527081495, 19.6831152729481, -6.48615565679755, -3.24307782839877
2.70675528399199, 19.8311080034552, -6.49955442895435, -3.24977721447718
2.71352217220197, 19.9802134566172, -6.51215901659393, -3.25607950829697
2.72030597763247, 20.130439998735, -6.52398439774042, -3.26199219887021
2.72710674257656, 20.2817960590136, -6.53504536271948, -3.26752268135974
2.733924509433, 20.4342901300354, -6.54535651348612, -3.27267825674306
2.74075932070658, 20.5879307682364, -6.55493226481384, -3.27746613240692
2.74761121900835, 20.7427265943865, -6.56378684671807, -3.28189342335904
2.75448024705587, 20.8986862940731, -6.57193430263917, -3.28596715131959
2.76136644767351, 21.0558186181887, -6.57938849317935, -3.28969424658968
2.76826986379269, 21.2141323834213, -6.58616309513557, -3.29308154756778
2.77519053845217, 21.37363647275, -6.59227160339709, -3.29613580169854
2.7821285147983, 21.5343398359425, -6.59772733153295, -3.29886366576648
2.7890838360853, 21.6962514900581, -6.60254341325664, -3.30127170662832
2.79605654567551, 21.8593805199529, -6.60673280278854, -3.30336640139427
2.8030466870397, 22.0237360787901, -6.61030827634032, -3.30515413817016
2.8100543037573, 22.1893273885534, -6.61328243354822, -3.30664121677411
2.81707943951669, 22.3561637405643, -6.61566769702234, -3.30783384851117
2.82412213811548, 22.5242544960037, -6.61747631564077, -3.30873815782038
2.83118244346077, 22.693609086437, -6.61872036365782, -3.30936018182891
2.83826039956942, 22.8642370143433, -6.61941174267934, -3.30970587133967
2.84535605056835, 23.0361478536486, -6.6195621833973, -3.30978109169865
2.85246944069477, 23.209351250263, -6.61918324484305, -3.30959162242152
2.8596006142965, 23.3838569226221, -6.61828631783887, -3.30914315891944
2.86674961583224, 23.5596746622318, -6.61688262442494, -3.30844131221247
2.87391648987182, 23.7368143342183, -6.61498321953081, -3.3074916097654
2.8811012810965, 23.9152858778814, -6.61259899282036, -3.30629949641018
2.88830403429924, 24.0950993072521, -6.60974066853784, -3.30487033426892
2.89552479438499, 24.2762647116544, -6.60641880808495, -3.30320940404247
2.90276360637095, 24.4587922562718, -6.60264381024312, -3.30132190512156
2.91002051538688, 24.6426921827173, -6.59842591297412, -3.29921295648706
2.91729556667535, 24.8279748096081, -6.59377519416499, -3.29688759708249
2.92458880559204, 25.014650533145, -6.58870157345533, -3.29435078672766
2.93190027760602, 25.202729827695, -6.58321481300987, -3.29160740650493
2.93923002830003, 25.3922232463796, -6.57732451857799, -3.288662259289
2.94657810337078, 25.5831414216668, -6.57104014202167, -3.28552007101084
2.95394454862921, 25.7754950659675, -6.56437098050821, -3.28218549025411
2.96132941000078, 25.9692949722369, -6.55732617990943, -3.27866308995472
2.96873273352578, 26.1645520145796, -6.54991473465633, -3.27495736732816
2.9761545653596, 26.3612771488604, -6.54214548970967, -3.27107274485484
2.983594951773, 26.5594814133183, -6.53402714147704, -3.26701357073852
2.99105393915243, 26.7591759291866, -6.52556823964574, -3.26278411982287
2.99853157400031, 26.9603719013163, -6.51677718800538, -3.25838859400269
3.00602790293531, 27.1630806188051, -6.50766224576696, -3.25383112288348
3.01354297269265, 27.3673134556309, -6.49823152958078, -3.24911576479039
3.02107683012438, 27.5730818712897, -6.48849301389976, -3.24424650694988
